days,substrate,treatment,rep,mg_co2,larval_mg,total_mg_co2,larvae_mg_co2,,,,,,,,,,,
0,sg,ut,1,2.60,3.342639594,2.697750742,0.096536186,,,,,,,,,,,
1,sg,ut,1,5.83,13.33333333,6.58284978,0.749664231,,,,,,,,,,,
2,sg,ut,1,4.65,24.02,6.288855372,1.636665192,,,,,,,,,,,
3,sg,ut,1,2.46,58.5,6.385936914,3.923578291,,,,,,,,,,,
4,sg,ut,1,1.30,61.25,4.489468826,3.187702466,,,,,,,,,,,
5,sg,ut,1,1.12,71.15,5.522056086,4.404013383,,,,,,,,,,,
6,sg,ut,1,2.98,91.75438596,5.91443495,2.937700279,,,,,,,,,,,
0,sg,ut,2,2.71,3.338832487,2.810207108,0.096536186,,,,,,,,,,,
1,sg,ut,2,6.91,13.96666667,7.843143686,0.932564653,,,,,,,,,,,
2,sg,ut,2,4.45,29.8,6.281755379,1.83647537,,,,,,,,,,,
3,sg,ut,2,2.20,65,6.156418761,3.951425429,,,,,,,,,,,
4,sg,ut,2,1.66,57.5,4.062158482,2.403559351,,,,,,,,,,,
5,sg,ut,2,1.77,74.87096774,5.520607107,3.747630901,,,,,,,,,,,
6,sg,ut,2,3.64,83.22580645,6.100276973,2.456667137,,,,,,,,,,,
0,sg,ut,3,3.14,3.346446701,3.233855078,0.096536186,,,,,,,,,,,
1,sg,ut,3,5.88,12.94444444,6.632832713,0.753964953,,,,,,,,,,,
2,sg,ut,3,4.28,26.82608696,6.352755313,2.068274052,,,,,,,,,,,
3,sg,ut,3,4.48,57.47826087,7.21808512,2.74211808,,,,,,,,,,,
4,sg,ut,3,2.16,63.46666667,4.232149101,2.074112107,,,,,2.79,5.29,1.83,3.06,0.28,0.09,1.12
5,sg,ut,3,2.44,77.66666667,6.073971899,3.633715785,,,,,3.07,6.54,1.60,2.88,0.94,-0.15,0.76
6,sg,ut,3,3.45,90.625,5.414387523,1.967472629,,,,,3.25,6.52,1.29,2.39,0.31,-0.13,0.65
0,sg,0.5,1,1.16,3.342639594,1.256221404,0.096536186,,,,,,,,,,,
1,sg,0.5,1,2.14,8.416666667,2.865222955,0.727605012,,,,,,,,,,,
2,sg,0.5,1,3.41,15.89285714,4.455021436,1.047705473,,,,,,,,,,,
3,sg,0.5,1,3.98,30.61538462,6.582985844,2.601077401,,,,,,,,,,,
4,sg,0.5,1,1.72,60.28571429,4.914971915,3.190100345,,,,,,,,,,,
5,sg,0.5,1,3.01,70.6,8.57416187,5.562319908,,,,,,,,,,,
6,sg,0.5,1,7.65,98.40384615,11.40534279,3.756532487,,,,,,,,,,,
0,sg,0.5,2,1.37,3.347715736,1.470336756,0.096536186,,,,,,,,,,,
1,sg,0.5,2,2.59,10.83333333,3.278494006,0.6844539,,,,,,,,,,,
2,sg,0.5,2,2.36,18.03921569,3.639574506,1.280812419,,,,,,,,,,,
3,sg,0.5,2,5.14,36.15,8.077815128,2.936603445,,,,,,,,,,,
4,sg,0.5,2,2.63,63,5.642350744,3.017124276,,,,,,,,,,,
5,sg,0.5,2,2.47,91.06666667,9.225943287,6.752011582,,,,,,,,,,,
6,sg,0.5,2,9.53,98.72164948,11.5016884,1.973666865,,,,,,,,,,,
0,sg,0.5,3,0.97,3.347715736,1.067512401,0.096536186,,,,,,,,,,,
1,sg,0.5,3,2.97,10.12,3.780323139,0.814468432,,,,,,,,,,,
2,sg,0.5,3,4.76,11,5.650674277,0.887633944,,,,,,,,,,,
3,sg,0.5,3,5.47,32.57971014,6.277512352,0.808132302,,,,,,,,,,,
4,sg,0.5,3,1.45,63.21212121,4.737861626,3.29048728,,,,,,,,,,,
5,sg,0.5,3,1.97,66.30769231,7.916402698,5.944898221,,,,,,,,,,,
6,sg,0.5,3,7.22,105.2088889,13.27660908,6.055427451,,,,,,,,,,,
0,gc,ut,1,4.35,3.345177665,4.446591594,0.096536186,,,,,,,,,,,
1,gc,ut,1,3.62,8.4,3.799905588,0.180106893,,,,,,,,,,,
2,gc,ut,1,1.83,9.620689655,2.255898635,0.426653518,,,,,,,,,,,
3,gc,ut,1,1.33,19.76923077,2.158269826,0.823921866,,,,,,,,,,,
4,gc,ut,1,2.22,29.64864865,3.069746195,0.852818651,,,,,,,,,,,
5,gc,ut,1,1.53,41.9,2.763396597,1.23518012,,,,,,,,,,,
6,gc,ut,1,1.78,48.59813084,2.676916619,0.89267184,,,,,,,,,,,
0,gc,ut,2,3.58,3.380583756,3.672945479,0.096536186,,,,,,,,,,,
1,gc,ut,2,3.76,7.380952381,3.940364784,0.176939384,,,,,,,,,,,
2,gc,ut,2,1.20,12.5,2.135553515,0.932843056,,,,,,,,,,,
3,gc,ut,2,1.14,20.04225352,1.899333825,0.76041706,,,,,,,,,,,
4,gc,ut,2,1.98,26.47761194,2.694177843,0.717496296,,,,,,,,,,,
5,gc,ut,2,0.90,36.33333333,2.483676992,1.584856303,,,,,,,,,,,
6,gc,ut,2,2.83,48.28571429,3.57551585,0.74297603,,,,,,,,,,,
0,gc,ut,3,4.32,3.347715736,4.412161464,0.096536186,,,,,,,,,,,
1,gc,ut,3,3.63,7.0625,3.924744753,0.29718832,,,,,,,,,,,
2,gc,ut,3,1.54,10.22222222,2.220561565,0.682535912,,,,,,,,,,,
3,gc,ut,3,1.59,19.65625,2.170048797,0.575174563,,,,,,,,,,,
4,gc,ut,3,2.42,30.52631579,3.231898552,0.809588236,,,,,,,,,,,
5,gc,ut,3,1.49,39.07142857,3.544163944,2.058234099,,,,,,,,,,,
6,gc,ut,3,2.34,54.30693069,3.264560889,0.920038273,,,,,,,,,,,
0,gc,0.5,1,2.79,3.33248731,2.884074977,0.096536186,,,,,,,,,,,
1,gc,0.5,1,5.29,11.74576271,5.879455526,0.586177873,,,,,,,,,,,
2,gc,0.5,1,1.83,15.04545455,2.448884224,0.617975351,,,,,,,,,,,
3,gc,0.5,1,3.06,33.77631579,4.103423409,1.039813309,,,,,,,,,,,
4,gc,0.5,1,0.28,51.90909091,2.616101141,2.337651232,,,,,,,,,,,
5,gc,0.5,1,0.09,56.125,1.799524633,1.70997541,,,,,,,,,,,
6,gc,0.5,1,1.12,64.39759036,1.785123461,0.66630865,,,,,,,,,,,
0,gc,0.5,2,3.07,3.329949239,3.167626763,0.096536186,,,,,,,,,,,
1,gc,0.5,2,6.54,9.735294118,7.044054708,0.504971645,,,,,,,,,,,
2,gc,0.5,2,1.60,16.74074074,2.371034793,0.774427283,,,,,,,,,,,
3,gc,0.5,2,2.88,28.27692308,3.95229329,1.075265736,,,,,,,,,,,
4,gc,0.5,2,0.94,49.59375,2.558311463,1.618218299,,,,,,,,,,,
5,gc,0.5,2,-0.15,52.38888889,1.277739292,1.43046192,,,,,,,,,,,
6,gc,0.5,2,0.76,58.01098901,1.599929708,0.841205835,,,,,,,,,,,
0,gc,0.5,3,3.25,3.342639594,3.343736883,0.096536186,,,,,,,,,,,
1,gc,0.5,3,6.52,9.5625,7.114294297,0.596837016,,,,,,,,,,,
2,gc,0.5,3,1.29,16.42307692,2.086255374,0.794738515,,,,,,,,,,,
3,gc,0.5,3,2.39,33.8,4.309229904,1.920801757,,,,,,,,,,,
4,gc,0.5,3,0.31,52.16666667,2.571372288,2.265258035,,,,,,,,,,,
5,gc,0.5,3,-0.13,52.48717949,1.331402931,1.465499665,,,,,,,,,,,
6,gc,0.5,3,0.65,63.75949367,1.489283866,0.840069622,,,,,,,,,,,
