substrate,treatment,rep,protein_conversion
sg,ut,1,2.34457546
sg,ut,2,3.200629488
sg,ut,3,2.894072015
sg,ut,4,2.807388591
sg,0.5,1,4.163312847
sg,0.5,2,3.950717951
sg,0.5,3,3.689803042
sg,0.5,4,4.024795485
sg,1,1,2.818235591
sg,1,2,2.820813104
sg,1,3,2.722673248
sg,1,4,2.587142144
sg,2,1,3.526636561
sg,2,2,3.383030268
sg,2,3,3.418770936
sg,2,4,3.462559988
gc,ut,1,2.963345257
gc,ut,2,2.774301742
gc,ut,3,2.900743569
gc,ut,4,2.954402223
gc,0.5,1,3.634877685
gc,0.5,2,3.784524595
gc,0.5,3,3.861649286
gc,0.5,4,3.783120961
gc,1,1,3.019561128
gc,1,2,3.09549856
gc,1,3,3.155845473
gc,1,4,3.100426547
gc,2,1,3.288922252
gc,2,2,3.154562938
gc,2,3,3.042109552
gc,2,4,3.238106108
