substrate,size ,rep,d10,d25,d50,d75,d90
gc,0.5,1,23.22,65.02,160.1,275.5,431.1
gc,0.5,2,22.68,64.42,155.8,271.6,427.3
gc,0.5,3,22.46,63,155.1,266.4,431
gc,1,1,54.06,137.6,250.8,414.8,583.4
gc,1,2,46.7,121.8,237.7,401,583.2
gc,1,3,49.38,134.9,259.7,432.7,619.4
gc,2,1,37.69,92.74,194.3,366.6,576.9
gc,2,2,76.76,179.4,315.9,493.7,693.9
sg,0.5,1,13.17,44.4,144.9,259.8,416.9
sg,0.5,2,13.39,40.18,134,258.7,433.9
sg,1,1,58.68,185.3,382.8,608.2,887.9
sg,1,2,90.15,228.5,409.4,607.9,829.5
sg,2,1,107,270,487.4,736.4,1030
sg,2,2,60.8,201.7,438.7,710.8,1060
